No.,Official name (known as),Location,Country
91,Rawalpindi Cricket Stadium,Rawalpindi~ Punjab,Pakistan ! Pakistan
92,Pukekura Park,New Plymouth~ Taranaki,New Zealand ! New Zealand
93,Ray Mitchell Oval,Mackay~ Queensland,Australia ! Australia
94,Eastern Oval,Ballarat~ Victoria,Australia ! Australia
95,Manuka Oval,Canberra~ Australian Capital Territory,Australia ! Australia
96,Berri Oval,Berri~ South Australia,Australia ! Australia
97,Lavington Sports Oval,Albury~ New South Wales,Australia ! Australia
98,Harare Sports Club,Harare,Zimbabwe ! Zimbabwe
99,Bulawayo Athletic Club,Bulawayo,Zimbabwe ! Zimbabwe
100,Sahara Park Newlands,Cape Town~ Western Cape,South Africa ! South Africa
101,Axxess DSL St. Georges,Port Elizabeth~ Eastern Cape,South Africa ! South Africa
102,SuperSport Park,Centurion~ Gauteng,South Africa ! South Africa
103,New Wanderers Stadium,Johannesburg~ Gauteng,South Africa ! South Africa
104,Goodyear Park,Bloemfontein~ Free State,South Africa ! South Africa
105,"Sahara Stadium, Kingsmead",Durban~ KwaZulu-Natal,South Africa ! South Africa
106,Buffalo Park,East London~ Eastern Cape,South Africa ! South Africa
107,Moin-ul-Haq Stadium,Patna~ Bihar,India ! India
108,Punjab Cricket Association Stadium,Mohali~ Punjab,India ! India
109,Reliance Stadium,Vadodara~ Baroda,India ! India
110,The Padang,Singapore~ Singapore,Singapore ! Singapore
111,"Toronto Cricket, Skating and Curling Club",Toronto~ Ontario,Canada ! Canada
112,Gymkhana Club Ground,Nairobi~ Nairobi County,Kenya ! Kenya
113,Nairobi Club Ground,Nairobi~ Nairobi County,Kenya ! Kenya
114,Aga Khan Sports Club Ground,Nairobi~ Nairobi County,Kenya ! Kenya
115,Bugti Stadium,Quetta~ Balochistan,Pakistan ! Pakistan
116,Queens Sports Club,Bulawayo,Zimbabwe ! Zimbabwe
117,Boland Park,Paarl~ Western Cape,South Africa ! South Africa
118,Willowmoore Park,Benoni~ Gauteng,South Africa ! South Africa
119,Nehru Stadium,Kaloor~ Kochi~ Kerala,India ! India
120,De Beers Diamond Oval,Kimberley~ Northern Cape,South Africa ! South Africa
121,Sheikhupura Stadium,Sheikhupura~ Punjab,Pakistan ! Pakistan
122,Owen Delany Park,Taupo~ Waikato,New Zealand ! New Zealand
123,National Cricket Stadium,St. George's~ Grenada,West Indies ! Grenada
124,County Ground,Hove~ East Sussex,England ! England
125,St Lawrence Ground,Canterbury~ Kent,England ! England
126,County Ground,Northampton~ Northamptonshire,England ! England
127,SWALEC Stadium,Cardiff~ South Glamorgan,Wales ! Wales
128,County Ground,Chester-le-Street~ County Durham,England ! England
129,Castle Avenue,Dublin~ Leinster,Ireland ! Ireland
130,"Grange CC Ground, Raeburn Place",Edinburgh,Scotland ! Scotland
131,VRA Cricket Ground,Amstelveen~ North Holland,Netherlands ! Netherlands
132,Galle International Stadium,Galle~ Southern Province,Sri Lanka ! Sri Lanka
133,Kallang Ground,Singapore~ Singapore,Singapore ! Singapore
134,Westpac Stadium,Wellington~ Wellington,New Zealand ! New Zealand
135,Docklands Stadium,Melbourne~ Victoria,Australia ! Australia
136,North West Cricket Stadium,Potchefstroom~ North West,South Africa ! South Africa
137,Barkatullah Khan Stadium,Jodhpur~ Rajasthan,India ! India
138,Rangiri Dambulla International Stadium,Dambulla~ Central Province,Sri Lanka ! Sri Lanka
139,Simba Union Ground,Nairobi~ Nairobi County,Kenya ! Kenya
140,Beausejour,Gros Islet~ St Lucia,West Indies ! Saint Lucia
141,National Cricket Stadium,Tangier~ Tangier-Tetouan,Morocco ! Morocco
142,Indira Gandhi Stadium,Vijayawada~ Andhra Pradesh,India ! India
143,Kwekwe Sports Club,Kwekwe~ Midlands,Zimbabwe ! Zimbabwe
144,Queenstown Events Centre,Queenstown~ Otago,New Zealand ! New Zealand
145,City Oval,Pietermaritzburg~ KwaZulu-Natal,South Africa ! South Africa
146,Rose Bowl,Southampton~ Hampshire,England ! England
147,Bundaberg Rum Stadium,Cairns~ Queensland,Australia ! Australia
148,Marrara Oval,Darwin~ Northern Territory,Australia ! Australia
149,Multan Cricket Stadium,Multan~ Punjab,Pakistan ! Pakistan
150,Dr YS Rajasekhara Reddy Andhra CA-Visakhapatnam District CA Cricket Stadium,Visakhapatnam~ Andhra Pradesh,India ! India
151,Rajiv Gandhi International Cricket Stadium,Hyderabad~ Telangana,India ! India
152,Shaheed Chandu Stadium,Bogra~ Rajshahi Division,Bangladesh ! Bangladesh
153,Chittagong Divisional Stadium,Chittagong~ Chittagong Division,Bangladesh ! Bangladesh
154,Khulna Divisional Stadium,Khulna~ Khulna Division,Bangladesh ! Bangladesh
155,Narayanganj Osmani Stadium,Fatullah~ Narayanganj District,Bangladesh ! Bangladesh
156,Holkar Cricket Stadium,Indore~ Madhya Pradesh,India ! India
157,Sheikh Zayed Cricket Stadium,Abu Dhabi~ United Arab Emirates,United Arab Emirates ! United Arab Emirates
158,Warner Park,Basseterre~ St Kitts,West Indies ! Saint Kitts and Nevis
159,Civil Service Cricket Club,Belfast~ County Antrim,Northern Ireland ! Northern Ireland
160,Cambusdoon New Ground,Ayr~ Ayrshire,Scotland ! Scotland
161,Kinrara Academy Oval,Puchong~ Kuala Lumpur,Malaysia ! Malaysia
162,Mombasa Sports Club Ground,Mombasa~ Coast Province,Kenya ! Kenya
163,Shere-e-Bangla Stadium,Mirpur~ Dhaka Division,Bangladesh ! Bangladesh
164,Jaffery Sports Club Ground,Nairobi~ Nairobi County,Kenya ! Kenya
165,Ruaraka Sports Club Ground,Nairobi~ Nairobi County,Kenya ! Kenya
166,Sir Vivian Richards Stadium,North Sound~ Antigua,West Indies ! Antigua and Barbuda
167,Providence Stadium,Providence~ Guyana,West Indies ! Guyana
168,Titwood,Glasgow~ Strathclyde,Scotland ! Scotland
169,Hazelaarweg Stadion,Rotterdam~ South Holland,Netherlands ! Netherlands
170,Maple Leaf North-West Ground,King City~ Ontario,Canada ! Canada
171,Mannofield Park,Aberdeen,Scotland ! Scotland
172,Dubai International Cricket Stadium,Dubai~ United Arab Emirates,United Arab Emirates ! United Arab Emirates
173,Windsor Park,Roseau~ Dominica,West Indies ! Dominica
174,Vidarbha Cricket Association Stadium,Nagpur~ Maharashtra,India ! India
175,University Oval,Dunedin~ Otago,New Zealand ! New Zealand
176,Sportpark Westvliet,Voorburg~ South Holland,Netherlands ! Netherlands
177,Sportpark Thurlede,Schiedam~ South Holland,Netherlands ! Netherlands
178,Mahinda Rajapaksa International Stadium,Hambantota~ Southern Province,Sri Lanka ! Sri Lanka
179,Pallekele International Cricket Stadium,Pallekele~ Central Province,Sri Lanka ! Sri Lanka
180,Sportpark Duivesteijn,Voorburg~ South Holland,Netherlands ! Netherlands
181,Cobham Oval (New),Whangarei~ Northland,New Zealand ! New Zealand
